,name,company,year,Price,fuel_type,Mileage
0,Maruti Suzuki Alto 800 Vxi,Maruti,2018,Ask For Price,Petrol,"22,000"
1,Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2014,"3,25,000",Petrol,"28,000"
2,Ford EcoSport Titanium 1.5L TDCi,Ford,2014,"5,75,000",Diesel,"36,000"
3,Ford EcoSport Titanium 1.5L TDCi,Ford,2015,Ask For Price,Diesel,"59,000"
4,Mahindra Scorpio SLE BS IV,Mahindra,2015,"3,20,000",Diesel,"48,660"
5,Audi A8,Audi,2017,"10,00,000",Petrol,"4,000"
6,Audi Q7,Audi,2014,"5,00,000",Diesel,"16,934"
7,Maruti Suzuki Alto 800,Maruti,2014,"1,60,000",Petrol,"35,550"
8,Mahindra Scorpio S10,Mahindra,2016,"3,10,000",Diesel,"39,522"
9,Maruti Suzuki Alto 800 Vxi,Maruti,2015,"75,000",Petrol,"39,000"
10,Maruti Suzuki Alto 800 Lx,Maruti,2017,"1,90,000",Petrol,"72,000"
11,Maruti Suzuki Vitara Brezza ZDi,Maruti,2016,"2,90,000",Diesel,"15,975"
12,Maruti Suzuki Alto LX,Maruti,2008,"95,000",Petrol,"70,000"
13,Toyota Innova 2.0 G 8 STR BS IV,Toyota,2012,"6,50,000",Diesel,"82,000"
14,Skoda Yeti Ambition 2.0 TDI CR 4x2,Skoda,2012,"4,48,000",Diesel,"68,000"
15,Maruti Suzuki Baleno Delta 1.2,Maruti,2017,"5,49,000",Diesel,"32,000"
16,Honda City 1.5 S MT,Honda,2011,"2,80,000",Petrol,"33,000"
17,Maruti Suzuki Dzire,Maruti,2013,"3,49,999",Diesel,"46,000"
18,Honda Amaze 1.5 SX i DTEC,Honda,2015,"3,45,000",Diesel,"36,000"
19,Mahindra Scorpio S10,Mahindra,2015,"3,95,000",Diesel,"35,000"
20,Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2017,"2,20,000",Petrol,"30,874"
21,Honda City ZX CVT,Honda,2017,"1,70,000",Diesel,"15,000"
22,Maruti Suzuki Wagon R LX BS IV,Maruti,2013,"85,000",Petrol,"29,685"
23,Mahindra Scorpio SLE BS IV,Mahindra,2012,"5,70,000",Diesel,"19,000"
24,Volkswagen Polo Highline Exquisite P,Volkswagen,2014,"3,15,000",Petrol,"60,000"
25,Chevrolet Spark LS 1.0,Chevrolet,2010,"1,10,000",Petrol,"41,000"
26,Volkswagen Vento Highline Plus 1.5 Diesel AT,Volkswagen,2019,"12,00,000",Diesel,"3,600"
27,Hyundai i20 Magna,Hyundai,2009,"1,95,000",Petrol,"32,000"
28,Toyota Corolla Altis Diesel D4DG,Toyota,2010,"3,51,000",Diesel,"38,000"
29,Hyundai Verna Transform SX VTVT,Hyundai,2008,"1,60,000",Petrol,"45,000"
30,Toyota Corolla Altis Petrol Ltd,Toyota,2009,"2,40,000",Petrol,"35,000"
31,Honda City 1.5 EXi New,Honda,2005,"90,000",Petrol,"50,000"
32,Skoda Fabia 1.2L Diesel Elegance,Skoda,2011,"1,55,000",Diesel,"45,863"
33,BMW 3 Series 320i,BMW,2011,"6,00,000",Petrol,"60,500"
34,Maruti Suzuki A Star Lxi,Maruti,2011,"1,89,500",Petrol,"12,500"
35,Toyota Etios GD,Toyota,2013,"3,50,000",Diesel,"60,000"
36,Ford Figo Diesel EXI Option,Ford,2012,"2,10,000",Diesel,"35,000"
37,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2014,"3,90,000",Petrol,"35,000"
38,Chevrolet Beat LT Diesel,Chevrolet,2012,"1,35,000",Diesel,"45,000"
39,BMW 7 Series 740Li Sedan,BMW,2009,"16,00,000",Petrol,"35,000"
40,Mahindra XUV500 W8 AWD 2013,Mahindra,2013,"7,01,000",Diesel,"38,000"
41,Hyundai i10 Magna 1.2,Hyundai,2014,"2,65,000",Petrol,"18,000"
42,Hyundai Verna Fluidic New,Hyundai,2015,"5,25,000",Diesel,"35,000"
43,Maruti Suzuki Ertiga ZXI Plus,Maruti,2016,"6,35,000",Petrol,"29,000"
44,Ford EcoSport Titanium 1.5L TDCi,Ford,2014,"5,50,000",Diesel,"44,000"
45,Maruti Suzuki Ertiga Vxi,Maruti,2016,"5,75,000",Petrol,"29,000"
46,Maruti Suzuki Ertiga VDi,Maruti,2013,"4,85,000",Diesel,"42,000"
47,Maruti Suzuki Alto LXi BS III,Maruti,2012,"1,55,000",Petrol,"14,000"
48,Hyundai Grand i10 Asta 1.1 CRDi,Hyundai,2014,"3,45,000",Diesel,"49,000"
49,Honda Amaze 1.2 S i VTEC,Honda,2014,"3,25,000",Petrol,"42,000"
50,Maruti Suzuki Dzire VDI,Maruti,2015,"4,50,000",Diesel,"1,04,000"
51,Toyota Etios Liva G,Toyota,2014,"2,70,000",Petrol,"55,000"
52,Hyundai i20 Sportz 1.4 CRDI,Hyundai,2011,"3,50,000",Diesel,"33,333"
53,Chevrolet Spark,Chevrolet,2012,"1,58,400",Petrol,"33,600"
54,Maruti Suzuki Alto K10 VXi AMT,Maruti,2017,"3,50,000",Petrol,"5,600"
55,Nissan Micra XV,Nissan,2011,"1,79,000",Petrol,"41,000"
56,Maruti Suzuki Swift,Maruti,2007,"1,25,000",Petrol,"70,000"
57,Maruti Suzuki Alto 800,Maruti,2018,"2,00,000",Petrol,"7,500"
58,Honda Amaze 1.5 S i DTEC,Honda,2013,"2,99,000",Diesel,"45,000"
59,Maruti Suzuki Alto 800 Vxi,Maruti,2015,"2,20,000",Petrol,"38,000"
60,Chevrolet Beat,Chevrolet,2015,"1,50,000",Petrol,"30,000"
61,Toyota Corolla,Toyota,2009,"2,75,000",,"26,000"
62,Honda City 1.5 V MT,Honda,2010,"2,85,000",Petrol,"35,000"
63,Ford EcoSport Trend 1.5L TDCi,Ford,2016,"8,30,000",Diesel,"24,330"
64,Hyundai i20 Asta 1.2,Hyundai,2009,"2,10,000",Petrol,"65,480"
65,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2013,"3,40,000",Petrol,"41,000"
66,Tata Indica V2 eLS,Tata,2006,"90,000",Petrol,"20,000"
67,Maruti Suzuki Alto 800 Lxi,Maruti,2018,Ask For Price,Petrol,"28,028"
68,Hindustan Motors Ambassador,Hindustan,2000,"70,000",Diesel,"2,00,000"
69,Toyota Corolla Altis 1.8 GL,Toyota,2010,"2,89,999",Petrol,"70,000"
70,Toyota Corolla Altis 1.8 J,Toyota,2012,"3,49,999",Petrol,"59,000"
71,Toyota Innova 2.5 GX BS IV 7 STR,Toyota,2012,"8,49,999",Diesel,"99,000"
72,Volkswagen Jetta Highline TDI AT,Volkswagen,2014,"7,49,999",Diesel,"46,000"
73,Volkswagen Polo Comfortline 1.2L P,Volkswagen,2015,"3,99,999",Petrol,"2,800"
74,Volkswagen Polo,Volkswagen,2014,"2,74,999",Petrol,"32,000"
75,Mahindra Scorpio,Mahindra,2015,"9,84,999",Diesel,"22,000"
76,Nissan Sunny,Nissan,2012,"2,24,999",Petrol,"45,000"
77,Hyundai Elite i20,Hyundai,2018,"5,99,999",Petrol,"21,000"
78,Renault Kwid,Renault,2016,"2,44,999",Petrol,"11,000"
79,Renault Duster,Renault,2013,"3,99,999",Diesel,"41,000"
80,Renault Duster,Renault,2014,"4,74,999",Diesel,"50,000"
81,Mahindra Scorpio VLX Airbag,Mahindra,2011,"4,99,999",Diesel,"66,000"
82,Maruti Suzuki Alto 800 Lxi,Maruti,2018,"3,10,000",Petrol,"3,000"
83,Chevrolet Spark LT 1.0,Chevrolet,2010,"85,000",Petrol,"45,000"
84,Datsun Redi GO T O,Datsun,2016,"2,45,000",Petrol,"7,000"
85,Maruti Suzuki Swift RS VDI,Maruti,2010,"1,89,500",Diesel,"38,500"
86,Fiat Punto Emotion 1.2,Fiat,2012,"1,69,500",Diesel,"37,200"
87,Maruti Suzuki Swift RS VDI,Maruti,2010,"1,59,500",Diesel,"43,200"
88,Toyota Etios GD,Toyota,2013,"2,75,000",Petrol,"24,800"
89,Hyundai i20 Sportz 1.4 CRDI,Hyundai,2014,"3,70,000",Diesel,"60,000"
90,Hyundai i10 Sportz 1.2,Hyundai,2010,"1,68,000",Petrol,"45,872"
91,Chevrolet Beat LT Opt Diesel,Chevrolet,2011,"1,50,000",Diesel,"40,000"
92,Chevrolet Beat LS Diesel,Chevrolet,2011,"1,45,000",Diesel,"45,000"
93,Chevrolet Beat LT Diesel,Chevrolet,2012,"98,500",Diesel,"38,000"
94,Tata Indigo CS,Tata,2011,"85,000",Diesel,"11,400"
95,Toyota Corolla Altis 1.8 J,Toyota,2015,"5,75,000",Petrol,"42,000"
96,Honda City 1.5 V MT,Honda,2014,"5,49,000",Petrol,"39,000"
97,Maruti Suzuki Swift VDi,Maruti,2011,"2,09,000",Diesel,"47,000"
98,Hyundai Eon Era Plus,Hyundai,2013,"1,85,000",Petrol,"27,000"
99,Mahindra XUV500,Mahindra,2014,"6,99,999",Diesel,"52,000"
100,Ford Fiesta,Ford,2011,"2,74,999",Diesel,"55,000"
101,Honda City,Honda,2015,"5,99,999",Diesel,"30,000"
102,Maruti Suzuki Wagon R,Maruti,2012,"1,99,999",Petrol,"44,000"
103,Honda City,Honda,2014,"5,44,999",Diesel,"45,000"
104,Hyundai i20,Hyundai,2009,"1,99,000",Petrol,"31,000"
105,Hyundai Santro Xing XS,Hyundai,2005,"49,000",Petrol,"7,500"
106,Maruti Suzuki Ciaz VXi Plus,Maruti,2016,"7,00,000",Petrol,"3,350"
107,Maruti Suzuki Zen VX,Maruti,2000,"55,000",Petrol,"60,000"
108,Hyundai Creta 1.6 SX Plus Petrol,Hyundai,2017,"8,95,000",Petrol,"32,000"
109,Mahindra Scorpio SLX,Mahindra,2007,"3,55,000",Diesel,"75,000"
110,Mahindra Scorpio SLE BS IV,Mahindra,2012,"5,65,000",Diesel,"62,000"
111,Toyota Innova 2.5 G BS III 8 STR,Toyota,2006,"3,65,000",Diesel,"73,000"
112,Maruti Suzuki Alto K10 VXi AMT,Maruti,2011,"1,45,000",Petrol,"41,000"
113,Maruti Suzuki Wagon R LXI BS IV,Maruti,2011,"2,10,000",Petrol,"35,000"
114,Tata Nano Cx BSIV,Tata,2013,"40,000",Petrol,"2,200"
115,Maruti Suzuki Alto Std BS IV,Maruti,2013,"1,25,000",Petrol,"39,000"
116,Maruti Suzuki Wagon R LXi BS III,Maruti,2009,"1,35,000",Petrol,"45,000"
117,Maruti Suzuki Swift VXI BSIII,Maruti,2006,"1,35,000",Petrol,"45,000"
118,Tata Sumo Victa EX 10 by 7 Str BSIII,Tata,2012,"2,85,000",Diesel,"65,000"
119,Maruti Suzuki Wagon R LXi BS III,Maruti,2010,"1,45,000",Petrol,"54,870"
120,Maruti Suzuki Alto LXi BS III,Maruti,2010,"1,35,000",Petrol,"34,580"
121,Volkswagen Passat Diesel Comfortline AT,Volkswagen,2009,"4,50,000",Diesel,"97,000"
122,Honda City ZX VTEC,Honda,2008,"1,10,000",Petrol,"45,000"
123,Maruti Suzuki Wagon R LX BS III,Maruti,2006,"80,000",Petrol,"71,200"
124,Honda City VX O MT Diesel,Honda,2016,"5,19,000",Diesel,"52,000"
125,Mahindra Thar CRDe 4x4 AC,Mahindra,2016,"7,30,000",Diesel,"29,000"
126,Mercedes Benz GLA Class 200 CDI Sport,Mercedes,2015,"20,00,000",Diesel,"20,000"
127,Land Rover Freelander 2 SE,Land,2015,"21,00,000",Diesel,"30,000"
128,Renault Kwid RXT,Renault,2017,"3,40,000",Petrol,"5,000"
129,Tata Aria Pleasure 4X2,Tata,2014,"3,90,000",Diesel,"35,000"
130,Mercedes Benz B Class B180 Sports,Mercedes,2014,"14,00,000",Petrol,"31,000"
131,Datsun GO T O,Datsun,2016,"2,45,000",Petrol,"7,000"
132,Tata Indigo eCS LX TDI BS III,Tata,2016,"3,20,000",Diesel,"1,75,400"
133,Honda Jazz VX MT,Honda,2016,"4,50,000",Petrol,"41,000"
134,Honda Amaze 1.2 S i VTEC,Honda,2014,"3,11,000",Petrol,"33,000"
